Regionfilter,Country filter,Employee filter,Industryfilter,IT-Business filter,Q20,Q2101101,Q2102101,Q2103101,Q2104101,Q2105101,Q2106101,Q2107101,Q2108101,Q2109101,Q2110101,Q2111101,Q2112101,Q2113101,Q22,Q23,Q2401102,Q2402102,Q2403102,Q2404102,Q2405102,Q2406102,Q2407102,Q2408102,Q2409102,Q2410102,Q2411102,Q2412102,Q2413102,Q2414102,Q2415102,Q2901103,Q2902103,Q2903103,Q2904103,Q2906103,Q2908103,Q2909103,Q2910103,Q2911103,Q2912103,Q2913103,Q2914103,Q2915103,Q2916103,Q2937103,Q2917103,Q2938103,Q2918103,Q2919103,Q2920103,Q2921103,Q2922103,Q2923103,Q2924103,Q2925103,Q2926103,Q2927103,Q2929103,Q2930103,Q2931103,Q2932103,Q2933103,Q2934103,Q2935103,Q3001104,Q3002104,Q3003104,Q3004104,Q3006104,Q3008104,Q3009104,Q3010104,Q3011104,Q3012104,Q3013104,Q3014104,Q3036104,Q3015104,Q3037104,Q3016104,Q3017104,Q3019104,Q3020104,Q3021104,Q3022104,Q3023104,Q3024104,Q3025104,Q3026104,Q3028104,Q3029104,Q3030104,Q3031104,Q3032104,Q3033104,Q3034104,Q3035104,Q3101105,Q3102105,Q3103105,Q3104105,Q3105105,Q3107105,Q3109105,Q3110105,Q3111105,Q3112105,Q3113105,Q3114105,Q3115105,Q3138105,Q3116105,Q3117105,Q3118105,Q3139105,Q3119105,Q3120105,Q3121105,Q3122105,Q3123105,Q3124105,Q3125105,Q3126105,Q3127105,Q3128105,Q3130105,Q3131105,Q3132105,Q3133105,Q3134105,Q3135105,Q3136105,Q3201106,Q3202106,Q3203106,Q3204106,Q3205106,Q3207106,Q3209106,Q3210106,Q3211106,Q3212106,Q3213106,Q3214106,Q3215106,Q3242106,Q3216106,Q3243106,Q3217106,Q3218106,Q3220106,Q3221106,Q3222106,Q3223106,Q3224106,Q3225106,Q3226106,Q3227106,Q3228106,Q3230106,Q3232106,Q3234106,Q3235106,Q3236106,Q3237106,Q3238106,Q3239106,Q3219106,Q3240106,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q35_6,Q35_7,Q36,Q37,Q3801107,Q3802107,Q3803107,Q3804107,Q3805107,Q3806107,Q3807107,Q3808107,Q3809107,Q3810107,Q3811107,Q3812107,Q3813107,Q3814107,Q3815107,Q3816107,Q3817107,Q3818107,Q3819107,Q3820107,Q3822107,Q3821xy,Q3901108,Q3902108,Q3903108,Q3904108,Q3905108,Q3906108,Q3907108,Q3908108,Q3909108,Q3910108,Q3911108,Q3912108,Q3913108,Q3914108,Q3915108,Q4001109,Q4002109,Q4003109,Q4004109,Q4005109,Q4006109,Q4007109,Q4008109,Q4009109,Q4010109,Q4011109,Q4012109,Q4013109,Q4014109,Q4015109,Q4016109,Q42_1,Q42_2,Q42_3,Q42_4,Q42_5,Q42_6,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q44_7,Q44_8,Q44_9,Q44_10,Q44_11,Q46,Q47_1,Q47_2,Q48,Q49,Q50,Q52,Q5301110,Q5302110,Q5303110,Q5304110,Q5306110,Q54_1,Q54_2,Q54_3,Q54_4,Q54_5,Q54_6,Q54_7,Q54_8,Q54_9,Q54_10,Q54_11,Q54_12,Q54_13,Q61,Q62,Q6301111,Q6302111,Q6303111,Q6304111,Q6305111,Q6306111,Q6307111,Q6308111,Q6309111,Q6310111,Q6311111,Q6312111,Q6313111,Q6314111,Q6315111,Q6316111,Q6317111,Q6318111,Q6319111,Q6320111,Q6321111,Q70,q55_discrete,q55_2_discrete,q55_3_discrete,q55_1_2,Q70_regions,Q68_bundled,q33_bundled,q27_bundled1112,q27_bundled2112,q27_bundled3112,q27_bundled4112,q27_bundled5112,q27_bundled6112,q27_bundled8112,q27_bundled10112,q27_bundled11112,q27_bundled12112,q27_bundled15112,q27_bundled16112,q27_bundled17112,q27_bundled18112,q27_bundled19112,q27_bundled20112,q27_bundled21112,q27_bundled22112,q27_bundled23112,q27_bundled24112,q27_bundled25112,q27_bundled26112,q27_bundled27112,q27_bundled40112,q27_bundled29112,q27_bundled30112,q27_bundled31112,q27_bundled32112,q27_bundled33112,q27_bundled34112,q27_bundled35112,q27_bundled36112,q27_bundled37112,q27_bundled38112,q27_bundled39112,q27_bundled41112,q27_bundled999112,q28_bundled1113,q28_bundled2113,q28_bundled3113,q28_bundled4113,q28_bundled5113,q28_bundled6113,q28_bundled8113,q28_bundled10113,q28_bundled11113,q28_bundled12113,q28_bundled15113,q28_bundled16113,q28_bundled17113,q28_bundled18113,q28_bundled19113,q28_bundled20113,q28_bundled21113,q28_bundled22113,q28_bundled23113,q28_bundled24113,q28_bundled25113,q28_bundled26113,q28_bundled27113,q28_bundled40113,q28_bundled29113,q28_bundled30113,q28_bundled31113,q28_bundled32113,q28_bundled33113,q28_bundled34113,q28_bundled35113,q28_bundled36113,q28_bundled37113,q28_bundled38113,q28_bundled39113,q28_bundled41113,q28_bundled999OtherOther3,q_eur,Q70_regions,ID,Q1,Q2,Q33,Q41
Europe,Italy,500 - 1500,Manufacturing,Did not respond,Separate BI organization unit,Management,Finance/Controlling,Human resources,IT,,Logistics,Marketing,Procurement,Operations/Production,R&D,Sales,,,Member of a cross-departmental BI team,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QlikView,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,Not required,In use,In use,2010,Competitively evaluated multiple products,,,,Ease of use for report designers,Ease of use for report recipients,,,High innovative capacity of the vendor,,,,,,,,,Good vendor relationship,,,,,,,,,,,,,,,,,,,No significant problems,,Administrative problems,,,,,,,,,,,Software not flexible enough,,,,,Good,Good,Good,Good,Average,Good,Good,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,Low,Low,Moderate,Low,Moderate,Moderate,Probably,Good,Good,Satisfactory,1 to less than 3 months,1 to less than 5 seconds,1 to less than 5 GB,View,Navigate,Explore/Analyze,Model/Enrich,,Not required,In use,Not required,In use,In use,In use,Not required,Not required,Not required,,In use,In use,Planned in the long term,Not very feasible,Not very important,Pricing and offer optimization,,,,,,,,Unified view of customers,,Sales management and analysis,Risk management/Minimizing risks,,,,,IoT analytics,Corporate performance management,,,,Italy,1001 – 2500,76 - 300,76 - 300,15 to less than 20%,Europe,Manufacturing,QlikView,,,,,,,,,,,IBM Cog Analytics,,,,,,,,,,MicroStrategy,,,,,Qlik Sense,QlikView,,,,,,,,,,Other,,,,,,,,,,,IBM Cog Analytics,IBM Plan Analytics,,,,,,,,,,,,,,Qlik Sense,QlikVIew,,,,,,,,,,,Southern Europe,Europe,100792,English,User,QlikView,Yes
Europe,Denmark,150 - 500,Public sector and Education,Business,Procurement,Management,Finance/Controlling,,IT,Legal,Logistics,,Procurement,Operations/Production,,,Service,,CEO,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,In use,Not required,Not required,2012,Competitively evaluated multiple products,Functionality,,Large data handling capacity,,Ease of use for report recipients,Fast query performance,,High innovative capacity of the vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,,,,,,,,,,,,,,No significant problems,,,,,,,,Good,Good,Good,Good,Good,High,High,High,High,High,High,High,High,,High,High,Definitely,Excellent,Excellent,Excellent,Less than 1 month,1 to less than 5 seconds,5 to less than 10 TB,View,Navigate,Explore/Analyze,Model/Enrich,Create reports,In use,In use,In use,In use,In use,In use,In use,Not required,In use,In use,In use,In use,In use,Very feasible,Important,Pricing and offer optimization,,,,Fraud prevention,,Geospatial analysis,,,,,,,,,,,Corporate performance management,,,,Denmark,251 - 500,76 - 300,76 - 300,More than 75%,Europe,Public sector and Education,TARGIT,Bissantz,,,,,,,,,,IBM Cog Analytics,,,,,,,,MS Power BI,,,,,,,,QlikView,,,SAP BO Analysis,,SAS Enterprise BI,,Tableau,TARGIT,Yellowfin,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TARGIT,,,Northern Europe,Europe,100797,English,User,TARGIT,No
Europe,Germany,More than 6000,Public sector and Education,Did not respond,Separate BI organization unit,Management,Finance/Controlling,Human resources,IT,,,,,,R&D,,Service,,Person responsible for BI from IT department,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,Planned in the long term,In use,Planned to use within 12 months,Before 2010,Competitively evaluated multiple products,Functionality,Support of large numbers of users,,,,,,,,,,,,,,,,,,,,,,,,,Lack of resources on the project team,,,,,,,,,,,,,,,Poor data governance,,,,,,,,,,,,,,,,,,Moderate,Good,Good,Good,Good,,High,Moderate,High,High,High,,Moderate,,High,High,Probably,Good,Excellent,Satisfactory,6 to less than 12 months,1 to less than 5 seconds,500 GB to less than 1 TB,View,Navigate,Explore/Analyze,,Create reports,Not required,Not required,In use,Planned in the long term,Planned within 12 months,Not required,In use,In use,In use,In use,Not required,Not required,Planned in the long term,Feasible,Not very important,,,Customer behavior analysis,,,,Geospatial analysis,,,Quality assurance/analysis,,,,,,Capacity/resource planning,,,,,,Germany,10001 -  100000,More than 300,More than 300,1 to less than 5%,Europe,Public sector and Education,MicroStrategy,,,,,,,,,,,,,,,,,,,,,MicroStrategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MicroStrategy,,,,,,,,,,,,,,,,,DACH,Europe,100798,Deutsch,User,MicroStrategy,No
Europe,Germany,500 - 1500,Manufacturing,Business,Finance/Controlling,Management,Finance/Controlling,,,,,Marketing,,,,Sales,,,Person responsible for departmental BI,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAP BO Analysis,,SAP Lumira Designer,SAP Lumira Discovery,SAP BO WebI,,,,,,,,,,,Planned to use within 12 months,In use,In use,In use,Not required,Not required,Not required,2012,Competitively evaluated multiple products,Functionality,,Large data handling capacity,,Ease of use for report recipients,Fast query performance,,,,,Flexibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,,,,,,Good,Good,Good,Good,Good,Low,High,High,High,Low,Low,Low,High,,High,High,Maybe,None used so far,Excellent,Satisfactory,,1 to less than 5 seconds,,View,Navigate,Explore/Analyze,Model/Enrich,Create reports,Not required,Not required,Not required,Not required,Planned in the long term,Planned in the long term,Planned in the long term,Planned in the long term,In use,In use,Not required,Not required,Planned in the long term,Feasible,Important,,,,,,,,,,,Sales management and analysis,,,,,Capacity/resource planning,,Corporate performance management,Predictive analytics,,,Germany,1001 – 2500,More than 300,76 - 300,20 to less than 30%,Europe,Manufacturing,QlikView,,BOARD,,,,,,,,,,,Infor BI,,,,,,,,,,,,,,QlikView,,,SAP BO Analysis,SAP BO WebI,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,QlikVIew,,,,,,,,,,,DACH,Europe,100799,Deutsch,User,QlikView,No
Europe,Germany,Less than 150,Services,Did not respond,,Management,Finance/Controlling,,IT,,,,,,,Sales,,,CEO,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,Not required,Not required,Not required,2017,Evaluated only the selected product,,,,,Ease of use for report recipients,Fast query performance,,,Vendor or product reputation,,,,,,,Proof of concept faster or better,Good vendor relationship,,,,,,,Data migration,,,Lack of resources on the project team,,,,,,,,,,,,,,,,Poor data quality,,,,,,,,,,,,,,,,,Good,Moderate,Good,Moderate,Good,,High,Moderate,Moderate,,,,High,,High,High,Definitely,Satisfactory,Excellent,Good,Less than 1 month,Less than 1 second,1 to less than 5 GB,View,Navigate,Explore/Analyze,,,Not required,Not required,Not required,Not required,Not required,Not required,In use,Not required,Not required,In use,Not required,Not required,Not required,Not very feasible,Not important at all,,,,,,,,,,,,,,,,,,,,None,,Germany,Less than 50,25 - 75,25 - 75,More than 75%,Europe,Services,Qlik Sense,,,,,,,,,,,,,,,Jedox,,,,,,MicroStrategy,,,,,Qlik Sense,QlikView,,,,,,,Tableau,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,Qlik Sense,QlikVIew,,,,,,,,,,,DACH,Europe,100801,Deutsch,Consultant,Qlik Sense,
Europe,Germany,150 - 500,Manufacturing,Business,Service,Management,Finance/Controlling,Human resources,IT,,,Marketing,Procurement,Operations/Production,R&D,Sales,Service,,Person responsible for BI from IT department,Yes,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,In use,In use,In use,2017,Competitively evaluated multiple products,,,,,,,,,,,,,,,,,,,,,Other,,,Data migration,,,Lack of resources on the project team,,Tight deadline,,,,,,,,,,Company politics,,,,,,Cannot handle our data volumes,Query performance too slow,,,,,,,,Very good,Very good,Good,Good,Average,Very good,Good,Good,Good,Moderate,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,High,Definitely,Good,Excellent,Satisfactory,Less than 1 month,1 to less than 5 seconds,50 to less than 100 GB,View,Navigate,Explore/Analyze,Model/Enrich,Create reports,Not required,Not required,Not required,In use,In use,In use,Not required,Planned in the long term,Planned within 12 months,In use,In use,In use,Not required,Not very feasible,Important,Pricing and offer optimization,,Customer behavior analysis,,,,Geospatial analysis,,Unified view of customers,Quality assurance/analysis,Sales management and analysis,Risk management/Minimizing risks,,,,Capacity/resource planning,,Corporate performance management,,,,Germany,251 - 500,76 - 300,76 - 300,20 to less than 30%,Europe,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,QlikView,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,DACH,Europe,100803,Deutsch,User,Other,Yes
Europe,Ireland,1500 - 6000,Transport,IT,IT,Management,Finance/Controlling,Human resources,IT,,Logistics,Marketing,Procurement,Operations/Production,,Sales,,,Person responsible for BI from IT department,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,Planned to use within 12 months,Not required,In use,2010,Competitively evaluated multiple products,Functionality,,Large data handling capacity,Ease of use for report designers,,,,,,,Flexibility,,Price-performance ratio,,,,,,,,,,,,,,,,,,Lack of communication in the project team,Lack of project management,,,,,,,,,,,,,,,,,,,,No significant problems,,Very good,Very good,Good,Average,Average,Very good,Good,Good,Good,Good,Good,High,High,High,High,High,High,Not achieved,High,Low,High,High,Definitely,Excellent,None used so far,Excellent,3 to less than 6 months,1 to less than 5 seconds,1 to less than 5 TB,View,Navigate,Explore/Analyze,Model/Enrich,Create reports,Planned within 12 months,Not required,In use,Planned in the long term,In use,In use,In use,,Planned within 12 months,In use,Not required,In use,Planned in the long term,Feasible,Very important,,Supply network optimization,Customer behavior analysis,,,Security analytics,,,Unified view of customers,Quality assurance/analysis,Sales management and analysis,,Predictive maintenance,,Real-time process monitoring,Capacity/resource planning,,Corporate performance management,,,,Ireland,2501 – 10000,More than 300,More than 300,15 to less than 20%,Europe,Transport,TARGIT,,,,,,,,,,,,,,,,,,MS Excel,,,,,,,,,,,,,,,,Tableau,TARGIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TARGIT,,Other,United Kingdom & Ireland,Europe,100806,English,User,TARGIT,Yes
North America,Canada,More than 6000,Financial Services,Did not respond,,,,Human resources,IT,,Logistics,Marketing,,,,,,,External consultant,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not required,In use,In use,In use,In use,Not required,In use,Before 2010,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of expertise of implementation partner,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,,,,,,Good,Good,Good,Moderate,Good,Moderate,High,High,High,High,High,Moderate,High,Moderate,High,Moderate,Definitely,Excellent,Good,Good,6 to less than 12 months,,500 GB to less than 1 TB,View,,Explore/Analyze,Model/Enrich,,,In use,Planned within 12 months,,Planned in the long term,Planned in the long term,In use,,,In use,In use,,,Feasible,Important,,,,,Fraud prevention,,,Recommendation/Next-best-offer,,,,Risk management/Minimizing risks,,,,,,,Predictive analytics,,,Canada,10001 -  100000,More than 300,76 - 300,5 to less than 10%,North America,Financial Services,SAS Enterprise BI,,,,,,,,,,,,,,,,,,,MS Power BI,,,,,,,,,,,,,SAS Enterprise BI,,Tableau,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAS Enterprise BI,,,,,,,North America,100807,English,Consultant,SAS Intelligence Platform,
Europe,Switzerland,1500 - 6000,Manufacturing,IT,IT,Management,Finance/Controlling,Human resources,,,Logistics,,Procurement,Operations/Production,,Sales,,,Person responsible for BI from IT department,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,In use,In use,Not required,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tight deadline,,,,,Unclear requirements,,,,,,Lack of interest from business users,,,Poor data quality,,,,,,,,,,,,,,,,,Moderate,Moderate,Good,Moderate,Moderate,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,High,Definitely,Good,Good,Satisfactory,,5 to less than 10 seconds,50 to less than 100 GB,View,Navigate,Explore/Analyze,,,Not required,Not required,Planned within 12 months,Planned in the long term,In use,Planned in the long term,Not required,Not required,In use,In use,In use,Planned in the long term,,Feasible,Important,,,,,,,,,,,Sales management and analysis,,,,,,,,Predictive analytics,,,Switzerland,1001 – 2500,76 - 300,76 - 300,10 to less than 15%,Europe,Manufacturing,TARGIT,,,,,,,,,,,,,,,Jedox,,,,,,,,,,,Qlik Sense,QlikView,,,,,,,,TARGIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TARGIT,,,DACH,Europe,100808,Deutsch,User,TARGIT,No
Europe,Austria,500 - 1500,Telecommunications,Business,Finance/Controlling,Management,Finance/Controlling,Human resources,IT,,Logistics,Marketing,Procurement,,,Sales,Service,,Person responsible for departmental BI,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cubus,,,,Longview Analytics,,,,,,,,,Oracle Hyperion Smart View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,Not required,In use,In use,Not required,In use,Not required,Before 2010,,,,,,Ease of use for report recipients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very good,Very good,,Very good,Very good,Good,Good,Good,Good,Good,,High,Moderate,Moderate,Moderate,Low,,Low,,High,High,Definitely,Excellent,Excellent,Good,,1 to less than 5 seconds,250 to less than 500 GB,View,Navigate,Explore/Analyze,Model/Enrich,,Not required,Not required,Not required,Not required,Not required,Not required,In use,Planned in the long term,Not required,,In use,Not required,,Not very feasible,Not very important,Pricing and offer optimization,Supply network optimization,Customer behavior analysis,Churn prevention,Fraud prevention,Security analytics,Geospatial analysis,Recommendation/Next-best-offer,Unified view of customers,Quality assurance/analysis,Sales management and analysis,,,,,Capacity/resource planning,,Corporate performance management,Predictive analytics,,,Austria,1001 – 2500,76 - 300,76 - 300,20 to less than 30%,Europe,Telecommunications,cubus,,,,,,cubus,,,,,IBM Cog Analytics,IBM Plan Analytics,Infor BI,,,Longview Analytics,,,,,,Oracle BI,,,,,QlikView,,,SAP BO Analysis,,,,Tableau,,,Other,,,,,,cubus,,,,,IBM Cog Analytics,,Infor BI,,,Longview Analytics,,,,,,,,,,,,,,,,,,Tableau,,,Other,DACH,Europe,100811,Deutsch,User,cubus,Yes
North America,Canada,1500 - 6000,Retail/Wholesale,IT,IT,Management,Finance/Controlling,Human resources,,,Logistics,Marketing,Procurement,,,Sales,,,Person responsible for BI from IT department,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,Not required,Not required,Not required,Not required,2012,No formal evaluation,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,Costs higher than expected,,,,Unclear requirements,,,Other,,,,,,,,,,,Software difficult to use,,,,,Other,Good,Good,Average,Poor,Average,Good,Good,Good,Good,Good,Moderate,Moderate,Low,Not achieved,Moderate,Moderate,Low,Not achieved,Moderate,Moderate,Moderate,High,Probably,Good,Good,Satisfactory,3 to less than 6 months,30 to less than 60 seconds,500 GB to less than 1 TB,View,Navigate,,,Create reports,Not required,Not required,Not required,Not required,Not required,Not required,In use,Not required,Not required,Not required,Not required,Not required,Not required,Very feasible,Important,,,Customer behavior analysis,,,,,,,,Sales management and analysis,,,,,,,,,,,Canada,1001 – 2500,25 - 75,Less than 25,1 to less than 5%,North America,Retail/Wholesale,TARGIT,,,,,,,,,,,IBM Cog Analytics,,,,,,,,MS Power BI,,,,,,,,,,,,,,,Tableau,TARGIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tableau,TARGIT,,,,North America,100812,English,User,TARGIT,Yes
Europe,Austria,1500 - 6000,Public sector and Education,Business,Finance/Controlling,Management,Finance/Controlling,Human resources,IT,Legal,Logistics,Marketing,Procurement,Operations/Production,R&D,Sales,Service,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Excel stand alone,,Microsoft Power BI,Microsoft SSRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,Not required,Not required,Not required,2012,Evaluated only the selected product,Functionality,,Large data handling capacity,Ease of use for report designers,,Fast query performance,,,,,,,Price-performance ratio,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,,,,,,,,,,,,,,No significant problems,,,,,,,,Good,Good,Good,Moderate,Good,High,High,High,High,High,High,Not achieved,High,,High,High,Definitely,Excellent,None used so far,Good,1 to less than 2 years,1 to less than 5 seconds,100 to less than 250 GB,View,Navigate,,,,Not required,Not required,Not required,Not required,In use,Planned within 12 months,In use,Planned within 12 months,Not required,In use,In use,In use,Planned in the long term,Not very feasible,Not very important,,,,,,,,,,,,,,,,,,,,,,Austria,2501 – 10000,More than 300,More than 300,20 to less than 30%,Europe,Public sector and Education,MS SSRS,,,,,,,,,,,IBM Cog Analytics,,,,,,,MS Excel,MS Power BI,MS SSRS,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,MS Excel,MS Power BI,MS SSRS,,,,,,,,,,,,,,,,,Other,DACH,Europe,100813,Deutsch,User,Microsoft SSRS,No
Europe,Switzerland,1500 - 6000,Utilities,Business,Finance/Controlling,Management,Finance/Controlling,Human resources,IT,,Logistics,,,,,,,,Person responsible for departmental BI,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,In use,Not required,In use,Before 2010,Competitively evaluated multiple products,Functionality,,,Ease of use for report designers,,Fast query performance,,,,,,,Price-performance ratio,,,Proof of concept faster or better,,,,,,,,,,,,,,,,,,,,No significant problems,,,,,,,,,,,,,,,,No significant problems,,Very good,Very good,Very good,Very good,Very good,Very good,Good,Good,Good,Good,Good,High,High,High,High,High,High,High,High,Not achieved,High,High,Definitely,Excellent,Excellent,Excellent,1 to less than 3 months,1 to less than 5 seconds,50 to less than 100 GB,,Navigate,Explore/Analyze,Model/Enrich,Create reports,Not required,Not required,Not required,In use,Not required,Not required,In use,Not required,In use,In use,Not required,Not required,Not required,Not feasible at all,Important,,,,,,,,,Unified view of customers,Quality assurance/analysis,,,,,Real-time process monitoring,Capacity/resource planning,,,Predictive analytics,,,Switzerland,1001 – 2500,More than 300,More than 300,15 to less than 20%,Europe,Utilities,QlikView,,BOARD,,,,,,,,,,IBM Plan Analytics,,Information Builders,,,,,,,,,,,,,QlikView,,,,,SAS Enterprise BI,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,QlikVIew,,,,,,,,,,,DACH,Europe,100814,Français,User,QlikView,Yes
