Peer,vendor,KPI,value,place
Americas-focused vendors,CALUMO,Cloud BI,9.585611511,Leader
Americas-focused vendors,CALUMO,Mobile BI,6.446131941,Leader
Americas-focused vendors,CALUMO,Operational BI,7.857729138,Leader
Americas-focused vendors,CALUMO,Embedded BI,7.369485294,Leader
Americas-focused vendors,Chartio,Business benefits,7.785664469,Leader
Americas-focused vendors,Chartio,Project success,5.407086413,Leader
Americas-focused vendors,Chartio,Price-to-value,8.620594768,Leader
Americas-focused vendors,Chartio,Recommendation,6.874378728,Leader
Americas-focused vendors,Chartio,Vendor support,7.589914933,Leader
Americas-focused vendors,Chartio,Implementer support,7.156763196,Leader
Americas-focused vendors,Chartio,Customer satisfaction,6.655008747,Leader
Americas-focused vendors,Chartio,Ease of use,6.691202726,Leader
Americas-focused vendors,Chartio,Sales experience,8.125338142,Leader
Americas-focused vendors,Chartio,Cloud BI,9.378417266,Leader
Americas-focused vendors,Chartio,Mobile BI,5.964221825,Leader
Americas-focused vendors,Chartio,Operational BI,9.092436975,Leader
Americas-focused vendors,Chartio,Embedded BI,6.537109375,Leader
Americas-focused vendors,Cyberscience,Business benefits,4.4279974,Leader
Americas-focused vendors,Cyberscience,Project success,6.99149248,Leader
Americas-focused vendors,Cyberscience,Price-to-value,8.620594768,Leader
Americas-focused vendors,Cyberscience,Recommendation,6.132952286,Leader
Americas-focused vendors,Cyberscience,Vendor support,8.492689272,Leader
Americas-focused vendors,Cyberscience,Implementer support,7.161583683,Leader
Americas-focused vendors,Cyberscience,Customer satisfaction,7.475781943,Leader
Americas-focused vendors,Cyberscience,Ease of use,7.166239132,Leader
Americas-focused vendors,Cyberscience,Sales experience,8.344454463,Leader
Americas-focused vendors,Cyberscience,Cloud BI,1.390721905,Leader
Americas-focused vendors,Cyberscience,Mobile BI,2.812251843,Leader
Americas-focused vendors,Cyberscience,Operational BI,8.626391097,Leader
Americas-focused vendors,Cyberscience,Embedded BI,3.4609375,Leader
Americas-focused vendors,Dimensional Insight,Business benefits,8.429486966,Leader
Americas-focused vendors,Dimensional Insight,Project success,7.221648309,Leader
Americas-focused vendors,Dimensional Insight,Price-to-value,9.17368962,Leader
Americas-focused vendors,Dimensional Insight,Recommendation,9.020613163,Leader
Americas-focused vendors,Dimensional Insight,Vendor support,9.287382309,Leader
Americas-focused vendors,Dimensional Insight,Implementer support,9.118701507,Leader
Americas-focused vendors,Dimensional Insight,Customer satisfaction,9.047822945,Leader
Americas-focused vendors,Dimensional Insight,Ease of use,5.253681372,Leader
Americas-focused vendors,Dimensional Insight,Sales experience,9.483859333,Leader
Americas-focused vendors,Dimensional Insight,Cloud BI,3.349733117,Leader
Americas-focused vendors,Dimensional Insight,Mobile BI,3.919216646,Leader
Americas-focused vendors,Dimensional Insight,Operational BI,5.323529412,Leader
Americas-focused vendors,Dimensional Insight,Embedded BI,2.514423077,Leader
Americas-focused vendors,Domo,Business benefits,9.319997464,Leader
Americas-focused vendors,Domo,Project success,5.914096355,Leader
Americas-focused vendors,Domo,Price-to-value,8.672001175,Leader
Americas-focused vendors,Domo,Recommendation,8.463149673,Leader
Americas-focused vendors,Domo,Vendor support,7.928212106,Leader
Americas-focused vendors,Domo,Implementer support,6.621689111,Leader
Americas-focused vendors,Domo,Customer satisfaction,7.19606359,Leader
Americas-focused vendors,Domo,Ease of use,8.112322929,Leader
Americas-focused vendors,Domo,Sales experience,9.383228133,Leader
Americas-focused vendors,Domo,Cloud BI,10,Leader
Americas-focused vendors,Domo,Mobile BI,9.497674419,Leader
Americas-focused vendors,Domo,Operational BI,10,Leader
Americas-focused vendors,Domo,Embedded BI,4.15,Leader
Americas-focused vendors,Dundas,Business benefits,5.290496721,Leader
Americas-focused vendors,Dundas,Project success,7.145406212,Leader
Americas-focused vendors,Dundas,Price-to-value,8.380698206,Leader
Americas-focused vendors,Dundas,Recommendation,5.497443908,Leader
Americas-focused vendors,Dundas,Vendor support,7.925231116,Leader
Americas-focused vendors,Dundas,Implementer support,8.286364042,Leader
Americas-focused vendors,Dundas,Customer satisfaction,7.753434304,Leader
Americas-focused vendors,Dundas,Ease of use,6.47012226,Leader
Americas-focused vendors,Dundas,Sales experience,8.874661858,Leader
Americas-focused vendors,Dundas,Cloud BI,3.187704382,Leader
Americas-focused vendors,Dundas,Mobile BI,3.302325581,Leader
Americas-focused vendors,Dundas,Operational BI,7.731092437,Leader
Americas-focused vendors,Dundas,Embedded BI,8.734375,Leader
Americas-focused vendors,Entrinsik,Business benefits,5.152583802,Leader
Americas-focused vendors,Entrinsik,Project success,6.246275282,Leader
Americas-focused vendors,Entrinsik,Price-to-value,9.56486847,Leader
Americas-focused vendors,Entrinsik,Recommendation,7.343096593,Leader
Americas-focused vendors,Entrinsik,Vendor support,8.061223521,Leader
Americas-focused vendors,Entrinsik,Implementer support,6.444596033,Leader
Americas-focused vendors,Entrinsik,Customer satisfaction,7.310322036,Leader
Americas-focused vendors,Entrinsik,Ease of use,8.45376318,Leader
Americas-focused vendors,Entrinsik,Sales experience,9.967538323,Leader
Americas-focused vendors,Entrinsik,Cloud BI,2.312003029,Leader
Americas-focused vendors,Entrinsik,Mobile BI,1.974338412,Leader
Americas-focused vendors,Entrinsik,Operational BI,9.841176471,Leader
Americas-focused vendors,Entrinsik,Embedded BI,10,Leader
Americas-focused vendors,Envision,Business benefits,5.365937262,Leader
Americas-focused vendors,Envision,Project success,6.896428116,Leader
Americas-focused vendors,Envision,Price-to-value,9.203200705,Leader
Americas-focused vendors,Envision,Recommendation,8.419017147,Leader
Americas-focused vendors,Envision,Vendor support,9.255580609,Leader
Americas-focused vendors,Envision,Implementer support,8.573376961,Leader
Americas-focused vendors,Envision,Customer satisfaction,8.991228746,Leader
Americas-focused vendors,Envision,Ease of use,5.670420454,Leader
Americas-focused vendors,Envision,Sales experience,10,Leader
Americas-focused vendors,Envision,Cloud BI,8.645268401,Leader
Americas-focused vendors,Envision,Mobile BI,4.139534884,Leader
Americas-focused vendors,Envision,Operational BI,6.352941176,Leader
Americas-focused vendors,Envision,Embedded BI,8.5,Leader
Americas-focused vendors,Phocas,Business benefits,10,Top-ranked
Americas-focused vendors,Phocas,Project success,10,Leader
Americas-focused vendors,Phocas,Price-to-value,9.940025859,Leader
Americas-focused vendors,Phocas,Recommendation,10,Leader
Americas-focused vendors,Phocas,Vendor support,9.42367531,Leader
Americas-focused vendors,Phocas,Implementer support,9.285169,Leader
Americas-focused vendors,Phocas,Customer satisfaction,9.676822826,Leader
Americas-focused vendors,Phocas,Ease of use,7.702096964,Leader
Americas-focused vendors,Phocas,Sales experience,9.548487581,Leader
Americas-focused vendors,Phocas,Cloud BI,5.35483871,Leader
Americas-focused vendors,Phocas,Mobile BI,9.162790698,Leader
Americas-focused vendors,Phocas,Operational BI,4.802139037,Leader
Americas-focused vendors,Phocas,Embedded BI,6.90625,Leader
Americas-focused vendors,Pyramid Analytics,Business benefits,8.479267056,Leader
Americas-focused vendors,Pyramid Analytics,Project success,8.885737956,Leader
Americas-focused vendors,Pyramid Analytics,Price-to-value,9.793422405,Leader
Americas-focused vendors,Pyramid Analytics,Recommendation,7.286282306,Leader
Americas-focused vendors,Pyramid Analytics,Vendor support,8.919391206,Leader
Americas-focused vendors,Pyramid Analytics,Implementer support,8.090519932,Leader
Americas-focused vendors,Pyramid Analytics,Customer satisfaction,8.207053691,Leader
Americas-focused vendors,Pyramid Analytics,Ease of use,7.02245281,Leader
Americas-focused vendors,Pyramid Analytics,Sales experience,9.707844905,Leader
Americas-focused vendors,Pyramid Analytics,Cloud BI,3.044193217,Leader
Americas-focused vendors,Pyramid Analytics,Mobile BI,5.534883721,Leader
Americas-focused vendors,Pyramid Analytics,Operational BI,6.369747899,Leader
Americas-focused vendors,Pyramid Analytics,Embedded BI,9.352272727,Leader
Americas-focused vendors,Sisense,Business benefits,7.815532523,Leader
Americas-focused vendors,Sisense,Project success,7.221648309,Leader
Americas-focused vendors,Sisense,Price-to-value,7.609602114,Leader
Americas-focused vendors,Sisense,Recommendation,6.419116878,Leader
Americas-focused vendors,Sisense,Vendor support,8.796727505,Leader
Americas-focused vendors,Sisense,Implementer support,6.621689111,Leader
Americas-focused vendors,Sisense,Customer satisfaction,6.745965522,Leader
Americas-focused vendors,Sisense,Ease of use,7.485731191,Leader
Americas-focused vendors,Sisense,Sales experience,8.590034108,Leader
Americas-focused vendors,Sisense,Cloud BI,7.188078109,Leader
Americas-focused vendors,Sisense,Mobile BI,4.359853121,Leader
Americas-focused vendors,Sisense,Operational BI,6.647058824,Leader
Americas-focused vendors,Sisense,Embedded BI,8.3125,Leader
Americas-focused vendors,Yellowfin,Business benefits,8.017244038,Leader
Americas-focused vendors,Yellowfin,Project success,9.709819429,Leader
Americas-focused vendors,Yellowfin,Price-to-value,9.690133607,Leader
Americas-focused vendors,Yellowfin,Recommendation,7.909703939,Leader
Americas-focused vendors,Yellowfin,Vendor support,8.551400104,Leader
Americas-focused vendors,Yellowfin,Implementer support,6.301559316,Leader
Americas-focused vendors,Yellowfin,Customer satisfaction,7.222408399,Leader
Americas-focused vendors,Yellowfin,Ease of use,8.367798398,Leader
Americas-focused vendors,Yellowfin,Sales experience,8.505351472,Leader
Americas-focused vendors,Yellowfin,Cloud BI,5.699149771,Leader
Americas-focused vendors,Yellowfin,Mobile BI,8.099308611,Leader
Americas-focused vendors,Yellowfin,Operational BI,9.523529412,Leader
Americas-focused vendors,Yellowfin,Embedded BI,7.5625,Leader
Americas-focused vendors,Zoho Reports,Business benefits,7.484402739,Leader
Americas-focused vendors,Zoho Reports,Project success,7.153453989,Leader
Americas-focused vendors,Zoho Reports,Price-to-value,8.412879453,Leader
Americas-focused vendors,Zoho Reports,Recommendation,7.211390746,Leader
Americas-focused vendors,Zoho Reports,Vendor support,7.190417136,Leader
Americas-focused vendors,Zoho Reports,Implementer support,5.529246187,Leader
Americas-focused vendors,Zoho Reports,Customer satisfaction,7.036162798,Leader
Americas-focused vendors,Zoho Reports,Ease of use,6.189311514,Leader
Americas-focused vendors,Zoho Reports,Sales experience,6.359056401,Leader
Americas-focused vendors,Zoho Reports,Cloud BI,8.516041221,Leader
Americas-focused vendors,Zoho Reports,Mobile BI,3.629041407,Leader
Americas-focused vendors,Zoho Reports,Operational BI,4.950226244,Leader
Americas-focused vendors,Zoho Reports,Embedded BI,9.203125,Leader
Americas-focused vendors,Peer Group Average,Business benefits,7.304901984,Leader
Americas-focused vendors,Peer Group Average,Project success,7.200683069,Leader
Americas-focused vendors,Peer Group Average,Price-to-value,8.911626409,Leader
Americas-focused vendors,Peer Group Average,Recommendation,7.473395493,Leader
Americas-focused vendors,Peer Group Average,Vendor support,8.368654216,Leader
Americas-focused vendors,Peer Group Average,Implementer support,7.546011553,Leader
Americas-focused vendors,Peer Group Average,Customer satisfaction,7.758427915,Leader
Americas-focused vendors,Peer Group Average,Ease of use,6.947622349,Leader
Americas-focused vendors,Peer Group Average,Sales experience,8.65701719,Leader
Americas-focused vendors,Peer Group Average,Cloud BI,5.729400262,Leader
Americas-focused vendors,Peer Group Average,Mobile BI,5.101542891,Leader
Americas-focused vendors,Peer Group Average,Operational BI,7.341047199,Leader
Americas-focused vendors,Peer Group Average,Embedded BI,6.749847453,Leader
Self-service reporting-focused products,BOARD,Business benefits,10,Leader
Self-service reporting-focused products,CALUMO,Business benefits,4.4279974,Top-ranked
Self-service reporting-focused products,Chartio,Business benefits,7.785664469,Leader
Self-service reporting-focused products,Cyberscience,Business benefits,4.4279974,Top-ranked
Self-service reporting-focused products,Dimensional Insight,Business benefits,8.429486966,Leader
Self-service reporting-focused products,Domo,Business benefits,9.319997464,Leader
Self-service reporting-focused products,Dundas,Business benefits,5.290496721,Top-ranked
Self-service reporting-focused products,Entrinsik,Business benefits,4.4279974,Leader
Self-service reporting-focused products,Envision,Business benefits,5.365937262,Top-ranked
Self-service reporting-focused products,Phocas,Business benefits,9.5,Leader
Self-service reporting-focused products,Pyramid Analytics,Business benefits,8.017244038,Leader
Self-service reporting-focused products,Sisense,Business benefits,1,Leader
Self-service reporting-focused products,Yellowfin,Business benefits,8.017244038,Leader
Self-service reporting-focused products,Peer Group Average,Business benefits,6.748351509,Top-ranked
Large international BI vendors,BOARD,Mobile BI,2.01431127,Top-ranked
Large international BI vendors,CALUMO,Mobile BI,2.415868673,Top-ranked
Large international BI vendors,Chartio,Mobile BI,7.340629275,Top-ranked
Large international BI vendors,Cyberscience,Mobile BI,2.376988984,Top-ranked
Large international BI vendors,Dimensional Insight,Mobile BI,2.279069767,Top-ranked
Large international BI vendors,Domo,Mobile BI,4.359853121,Top-ranked
Large international BI vendors,Dundas,Mobile BI,4.418604651,Top-ranked
Large international BI vendors,Entrinsik,Mobile BI,6.803382664,Top-ranked
Large international BI vendors,Envision,Mobile BI,3.972093023,Top-ranked
Large international BI vendors,Phocas,Mobile BI,8.099308611,Top-ranked
Large international BI vendors,Pyramid Analytics,Mobile BI,3.629041407,Top-ranked
Large international BI vendors,Sisense,Mobile BI,4.420734844,Top-ranked
Large international BI vendors,Yellowfin,Mobile BI,6.446131941,Top-ranked
Large international BI vendors,Zoho Reports,Mobile BI,5.964221825,Top-ranked
Large international BI vendors,Peer Group Average,Mobile BI,2.812251843,Top-ranked
Self-service reporting-focused products,Jedox,Mobile BI,2.908344733,Leader
Self-service reporting-focused products,Longview Analytics,Mobile BI,4.941118258,Leader
Self-service reporting-focused products,MS Excel,Mobile BI,2.997885835,Top-ranked
Self-service reporting-focused products,MS Power BI,Mobile BI,8.70962236,Leader
Self-service reporting-focused products,MS SSRS,Mobile BI,2.877076412,Leader
Self-service reporting-focused products,MicroStrategy,Mobile BI,7.115158308,Top-ranked
Self-service reporting-focused products,Oracle BI,Mobile BI,1.867109635,Leader
Self-service reporting-focused products,Phocas,Mobile BI,9.162790698,Top-ranked
Self-service reporting-focused products,prevero (MIK),Mobile BI,1.867109635,Leader
Self-service reporting-focused products,prevero (prevero),Mobile BI,1.685645549,Top-ranked
Self-service reporting-focused products,Pyramid Analytics,Mobile BI,5.534883721,Leader
Self-service reporting-focused products,Qlik Sense,Mobile BI,7.364849409,Top-ranked
Self-service reporting-focused products,Peer Group Average,Mobile BI,2.812251843,Leader
Large international BI vendors,BOARD,Sales experience,2.01431127,Top-ranked
Large international BI vendors,CALUMO,Sales experience,2.415868673,Top-ranked
Large international BI vendors,Chartio,Sales experience,7.340629275,Top-ranked
Large international BI vendors,Cyberscience,Sales experience,2.376988984,Top-ranked
Large international BI vendors,Dimensional Insight,Sales experience,2.279069767,Top-ranked
Large international BI vendors,Domo,Sales experience,4.359853121,Top-ranked
Large international BI vendors,Dundas,Sales experience,4.418604651,Top-ranked
Large international BI vendors,Entrinsik,Sales experience,6.803382664,Top-ranked
Large international BI vendors,Envision,Sales experience,3.972093023,Top-ranked
Large international BI vendors,Phocas,Sales experience,8.099308611,Top-ranked
Large international BI vendors,Sisense,Sales experience,4.420734844,Top-ranked
Large international BI vendors,Yellowfin,Sales experience,6.446131941,Top-ranked
Large international BI vendors,Zoho Reports,Sales experience,5.964221825,Top-ranked
Large international BI vendors,Peer Group Average,Sales experience,2.812251843,Top-ranked
Self-service reporting-focused products,Jedox,Sales experience,4.941118258,Top-ranked
Self-service reporting-focused products,Longview Analytics,Sales experience,2.997885835,Leader
Self-service reporting-focused products,Phocas,Sales experience,8.70962236,Leader
Self-service reporting-focused products,MS Power BI,Sales experience,2.877076412,Top-ranked
Self-service reporting-focused products,MS SSRS,Sales experience,7.115158308,Leader
Self-service reporting-focused products,MicroStrategy,Sales experience,1.867109635,Leader
Self-service reporting-focused products,Oracle BI,Sales experience,9.162790698,Leader
Self-service reporting-focused products,MS Excel,Sales experience,1.867109635,Leader
Self-service reporting-focused products,prevero (prevero),Sales experience,1.685645549,Leader
Self-service reporting-focused products,Pyramid Analytics,Sales experience,5.534883721,Top-ranked
Self-service reporting-focused products,Qlik Sense,Sales experience,7.364849409,Leader
Self-service reporting-focused products,Peer Group Average,Sales experience,2.812251843,Leader
Self-service reporting-focused products,Bissantz,Cloud BI,2.559843035,Leader
Self-service reporting-focused products,Phocas,Cloud BI,9.378417266,Leader
Self-service reporting-focused products,cubus,Cloud BI,2.618705036,Leader
Self-service reporting-focused products,Cyberscience,Cloud BI,1.390721905,Leader
Self-service reporting-focused products,DigDash,Cloud BI,4.992805755,Leader
Self-service reporting-focused products,Dimensional Insight,Cloud BI,3.349733117,Leader
Self-service reporting-focused products,Domo,Cloud BI,10,Top-ranked
Self-service reporting-focused products,Entrinsik,Cloud BI,2.312003029,Leader
Self-service reporting-focused products,MS Power BI,Cloud BI,9.182127982,Leader
Self-service reporting-focused products,Pyramid Analytics,Cloud BI,3.044193217,Leader
Self-service reporting-focused products,Qlik Sense,Cloud BI,4.9765169,Leader
Self-service reporting-focused products,SAP BO WebI,Cloud BI,2.402877698,Leader
Self-service reporting-focused products,TARGIT,Cloud BI,2.857251041,Leader
Self-service reporting-focused products,Yellowfin,Cloud BI,5.699149771,Leader
Self-service reporting-focused products,Zoho Reports,Cloud BI,8.516041221,Leader
Self-service reporting-focused products,Peer Group Average,Cloud BI,4.914701605,Leader
Self-service reporting-focused products,Bissantz,Project success,8.26203525,Leader
Self-service reporting-focused products,Bissantz,Self-service,7.633209746,Leader
Self-service reporting-focused products,Bissantz,Ease of use,5.554158971,Leader
Self-service reporting-focused products,Bissantz,Customer experience,6.08800036,Leader
Self-service reporting-focused products,Chartio,Project success,5.407086413,Leader
Self-service reporting-focused products,Chartio,Self-service,9.284957627,Leader
Self-service reporting-focused products,Chartio,Ease of use,6.691202726,Leader
Self-service reporting-focused products,Chartio,Customer experience,5.958898735,Leader
Self-service reporting-focused products,cubus,Project success,9.167410145,Leader
Self-service reporting-focused products,cubus,Self-service,7.896934197,Leader
Self-service reporting-focused products,cubus,Ease of use,6.342335039,Leader
Self-service reporting-focused products,cubus,Customer experience,7.607388504,Leader
Self-service reporting-focused products,Cyberscience,Project success,6.99149248,Leader
Self-service reporting-focused products,Cyberscience,Self-service,5.374697337,Leader
Self-service reporting-focused products,Cyberscience,Ease of use,7.166239132,Leader
Self-service reporting-focused products,Cyberscience,Customer experience,5.980378856,Leader
Self-service reporting-focused products,DigDash,Project success,7.767851453,Leader
Self-service reporting-focused products,DigDash,Self-service,2.048728814,Leader
Self-service reporting-focused products,DigDash,Ease of use,7.564901201,Leader
Self-service reporting-focused products,DigDash,Customer experience,5.381646793,Leader
Self-service reporting-focused products,Dimensional Insight,Project success,7.221648309,Leader
Self-service reporting-focused products,Dimensional Insight,Self-service,5.120887338,Leader
Self-service reporting-focused products,Dimensional Insight,Ease of use,5.253681372,Leader
Self-service reporting-focused products,Dimensional Insight,Customer experience,6.303382304,Leader
Self-service reporting-focused products,Domo,Project success,5.914096355,Leader
Self-service reporting-focused products,Domo,Self-service,8.19589309,Leader
Self-service reporting-focused products,Domo,Ease of use,8.112322929,Leader
Self-service reporting-focused products,Domo,Customer experience,7.556211787,Leader
Self-service reporting-focused products,Entrinsik,Project success,6.246275282,Leader
Self-service reporting-focused products,Entrinsik,Self-service,9.713983051,Leader
Self-service reporting-focused products,Entrinsik,Ease of use,8.45376318,Leader
Self-service reporting-focused products,Entrinsik,Customer experience,6.509133114,Leader
Self-service reporting-focused products,MS Power BI,Project success,5.74664353,Leader
Self-service reporting-focused products,MS Power BI,Self-service,6.380785528,Leader
Self-service reporting-focused products,MS Power BI,Ease of use,6.001259824,Leader
Self-service reporting-focused products,MS Power BI,Customer experience,5.654295631,Leader
Self-service reporting-focused products,Phocas,Project success,10,Top-ranked
Self-service reporting-focused products,Phocas,Self-service,9.284957627,Leader
Self-service reporting-focused products,Phocas,Ease of use,7.702096964,Leader
Self-service reporting-focused products,Phocas,Customer experience,7.167869253,Leader
Self-service reporting-focused products,Pyramid Analytics,Project success,8.885737956,Leader
Self-service reporting-focused products,Pyramid Analytics,Self-service,8.76059322,Leader
Self-service reporting-focused products,Pyramid Analytics,Ease of use,7.02245281,Leader
Self-service reporting-focused products,Pyramid Analytics,Customer experience,7.568107853,Leader
Self-service reporting-focused products,Qlik Sense,Project success,7.37694471,Leader
Self-service reporting-focused products,Qlik Sense,Self-service,8.145821157,Leader
Self-service reporting-focused products,Qlik Sense,Ease of use,5.790214979,Leader
Self-service reporting-focused products,Qlik Sense,Customer experience,7.004771264,Leader
Self-service reporting-focused products,SAP BO WebI,Project success,1.884701558,Leader
Self-service reporting-focused products,SAP BO WebI,Self-service,7.449682203,Leader
Self-service reporting-focused products,SAP BO WebI,Ease of use,5.242691493,Leader
Self-service reporting-focused products,SAP BO WebI,Customer experience,4.054981222,Leader
Self-service reporting-focused products,TARGIT,Project success,7.803860682,Leader
Self-service reporting-focused products,TARGIT,Self-service,7.85819866,Leader
Self-service reporting-focused products,TARGIT,Ease of use,6.483753663,Leader
Self-service reporting-focused products,TARGIT,Customer experience,6.649890489,Leader
Self-service reporting-focused products,Yellowfin,Project success,9.709819429,Leader
Self-service reporting-focused products,Yellowfin,Self-service,10,Top-ranked
Self-service reporting-focused products,Yellowfin,Ease of use,8.367798398,Leader
Self-service reporting-focused products,Yellowfin,Customer experience,6.092124694,Leader
Self-service reporting-focused products,Zoho Reports,Project success,7.153453989,Leader
Self-service reporting-focused products,Zoho Reports,Self-service,3.075379126,Leader
Self-service reporting-focused products,Zoho Reports,Ease of use,6.189311514,Leader
Self-service reporting-focused products,Zoho Reports,Customer experience,5.291927308,Leader
Self-service reporting-focused products,Peer Group Average,Project success,7.221191096,Leader
Self-service reporting-focused products,Peer Group Average,Self-service,7.264044295,Leader
Self-service reporting-focused products,Peer Group Average,Ease of use,6.746136512,Leader
Self-service reporting-focused products,Peer Group Average,Customer experience,6.30431301,Leader
Large international BI vendors ,IBM Cog Analytics,Project length,1.793495935,Leader
Large international BI vendors ,IBM Cog Analytics,Price-to-value,3.532906112,Leader
Large international BI vendors ,IBM Cog Analytics,Recommendation,3.353267492,Leader
Large international BI vendors ,IBM Cog Analytics,Vendor support,3.204171364,Leader
Large international BI vendors ,IBM Cog Analytics,Implementer support,3.625274235,Leader
Large international BI vendors ,IBM Cog Analytics,Ease of use,3.026973148,Leader
Large international BI vendors ,IBM Cog Analytics,Customer experience,3.958224095,Leader
Large international BI vendors ,IBM Cog Analytics,Cloud BI,1.895048667,Leader
Large international BI vendors ,IBM Cog Analytics,Innovation,4.317671365,Leader
Large international BI vendors ,IBM Plan Analytics,Project length,4.220512821,Leader
Large international BI vendors ,IBM Plan Analytics,Price-to-value,6.016003524,Leader
Large international BI vendors ,IBM Plan Analytics,Recommendation,6.25652336,Leader
Large international BI vendors ,IBM Plan Analytics,Vendor support,5.632849979,Leader
Large international BI vendors ,IBM Plan Analytics,Implementer support,7.287559083,Leader
Large international BI vendors ,IBM Plan Analytics,Ease of use,4.434834393,Leader
Large international BI vendors ,IBM Plan Analytics,Customer experience,6.07290411,Leader
Large international BI vendors ,IBM Plan Analytics,Cloud BI,2.748201439,Leader
Large international BI vendors ,IBM Plan Analytics,Innovation,2.939804321,Leader
Large international BI vendors ,Infor,Project length,2.430894309,Leader
Large international BI vendors ,Infor,Price-to-value,6.736073998,Leader
Large international BI vendors ,Infor,Recommendation,2.013916501,Leader
Large international BI vendors ,Infor,Vendor support,5.7091924,Leader
Large international BI vendors ,Infor,Implementer support,6.756662754,Leader
Large international BI vendors ,Infor,Ease of use,4.789089947,Leader
Large international BI vendors ,Infor,Customer experience,5.258512223,Leader
Large international BI vendors ,Infor,Cloud BI,1.181610809,Leader
Large international BI vendors ,Infor,Innovation,2.714775691,Leader
Large international BI vendors ,Information Builders,Project length,2.619753086,Leader
Large international BI vendors ,Information Builders,Price-to-value,6.901336074,Leader
Large international BI vendors ,Information Builders,Recommendation,5.788451112,Leader
Large international BI vendors ,Information Builders,Vendor support,7.620477606,Leader
Large international BI vendors ,Phocas,Implementer support,7.104981833,Leader
Large international BI vendors ,Information Builders,Ease of use,4.542592307,Leader
Large international BI vendors ,Information Builders,Customer experience,6.859841335,Leader
Large international BI vendors ,Information Builders,Cloud BI,2.057553957,Leader
Large international BI vendors ,Information Builders,Innovation,5.453695607,Leader
Large international BI vendors ,MS Excel,Project length,7.183908046,Leader
Large international BI vendors ,Phocas,Price-to-value,9.007495615,Leader
Large international BI vendors ,MS Excel,Recommendation,5.43553746,Leader
Large international BI vendors ,MS Excel,Vendor support,4.448072153,Leader
Large international BI vendors ,MS Excel,Implementer support,3.492100241,Leader
Large international BI vendors ,MS Excel,Ease of use,5.6597703,Leader
Large international BI vendors ,MS Excel,Customer experience,5.161479475,Leader
Large international BI vendors ,MS Excel,Cloud BI,3.784172662,Leader
Large international BI vendors ,MS Excel,Innovation,4.758688105,Leader
Large international BI vendors ,MS Power BI,Project length,7.738461538,Leader
Large international BI vendors ,MS Power BI,Price-to-value,9.821230927,Leader
Large international BI vendors ,Phocas,Recommendation,6.953736298,Leader
Large international BI vendors ,MS Power BI,Vendor support,6.177708665,Leader
Large international BI vendors ,MS Power BI,Implementer support,7.156763196,Leader
Large international BI vendors ,MS Power BI,Ease of use,6.001259824,Leader
Large international BI vendors ,MS Power BI,Customer experience,5.654295631,Leader
Large international BI vendors ,Phocas,Cloud BI,9.182127982,Leader
Large international BI vendors ,Phocas,Innovation,6.677082506,Leader
Large international BI vendors ,MS SSRS,Project length,4.797530864,Leader
